Altium Designer Pick and Place Locations
C:\myrepo\rk3566-devkit\01.hardware\RK3566\Project Outputs for RK3566\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       20/12/25
Time:       13:33
Revision:   d39db37f90201424382ae6569ad25726d0ff8314
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C135","4.7uF","BottomLayer","C0402","4492.184","2846.816","315","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C52","4.7uF","BottomLayer","C0402","3180.535","3371.139","90","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C134","22uF","TopLayer","C0603","4028.048","3208.357","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C51","12pF","TopLayer","C0402","2768.793","3211.413","180","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C133","22uF","BottomLayer","C0603","4001.758","3208.895","90","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C50","100nF","TopLayer","C0402","3360.663","3244.332","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C132","22uF","TopLayer","C0603","4083.732","3208.523","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C49","1uF","TopLayer","C0402","3360.031","3204.300","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C131","100nF-0201","BottomLayer","C0201","4579.875","2788.012","135","CL03A104KO3NNNC"
"C48","12pF","TopLayer","C0402","2676.382","3210.833","180","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C130","100nF-0201","BottomLayer","C0201","4558.093","2766.804","135","CL03A104KO3NNNC"
"C47","1uF","TopLayer","C0402","2674.283","3456.577","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C129","22uF","BottomLayer","C0603","4386.209","2853.407","315","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C46","100nF","TopLayer","C0402","2674.333","3364.909","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C128","10uF","BottomLayer","C0603","3945.928","3117.550","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C45","10pF","TopLayer","C0402","2535.989","3614.681","0","50V 10pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C127","22uF","BottomLayer","C0603","3972.546","3021.718","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C44","NC","TopLayer","C0402","2613.850","3635.353","90","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C126","100nF-0201","BottomLayer","C0201","4428.106","2803.999","225","CL03A104KO3NNNC"
"C43","NC","TopLayer","C0402","2459.112","3636.728","90","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"BT1","CR1220-2ZX","BottomLayer","BAT-SMD_CR1220-2ZX","4048.931","3770.000","0","Battery"
"U26","ESD5451N","TopLayer","DFN1006-2L-BI","2717.338","1937.891","0","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U24","ESD5451N","TopLayer","DFN1006-2L-BI","2969.002","2025.618","0","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U23","ESD5451N","TopLayer","DFN1006-2L-BI","3059.670","2024.393","180","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"X3","XKXGI-SUA-32.768K","BottomLayer","CRYSTAL-SMD_L3.2-W1.5-1","2845.154","2471.150","90","SMD3215-2P XKXGI-SUA-32.768K"
"U21","240nH","BottomLayer","IND-SMD_L2.5-W2.0_WPN252012H","3444.044","3201.273","0","240nH"
"U20","RK809-5","BottomLayer","QFN-68_L7.0-W7.0-P0.35-BL-EP5.5","3147.729","2351.735","180","RK809-5"
"R60","NC","BottomLayer","R0402","2961.261","2630.013","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R59","0O","BottomLayer","R0402","2960.894","2671.186","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R58","22O","TopLayer","R0402","3507.292","3092.772","270","??????????????,?????????????????"
"R57","51kO","TopLayer","R0402","3547.370","3124.075","270","51kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R56","100O","TopLayer","R0402","3648.793","3133.555","90","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R53","56kO","BottomLayer","R0402","3155.221","2717.932","0","56kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R52","180kO","BottomLayer","R0402","3154.626","2798.656","180","62.5mW 180kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R55","120kO","TopLayer","R0402","3154.464","1955.750","0","62.5mW 120kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R54","47kO","TopLayer","R0402","3155.000","1990.000","180","62.5mW 47kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R51","100O","BottomLayer","R0402","3516.628","2188.488","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R50","NC","TopLayer","R0402","2933.876","2447.452","180","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R49","0O","TopLayer","R0402","2933.887","2487.633","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R48","100O","BottomLayer","R0402","3273.541","2849.646","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R47","100O","BottomLayer","R0402","3516.368","2452.544","180","100O 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R46","10kO","BottomLayer","R0402","3446.366","2705.804","0","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R45","0O","TopLayer","R0402","3060.961","2861.204","180","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R44","10kO","TopLayer","R0402","3060.798","2822.906","0","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R43","51kO","BottomLayer","R0402","2615.231","3045.319","90","51kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R40","5.1kO","TopLayer","R0402","2538.479","2850.411","0","5.1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R39","232kO","BottomLayer","R0402","2535.000","3045.000","270","62.5mW 232kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"LED1","KT-0603B","TopLayer","LED0603-BL","2510.194","2906.245","0","30mA 2.6V~3.2V Blue 0603 LED Indication - Discrete ROHS"
"L10","180O","TopLayer","L0603","2949.862","2134.163","90","?? 0603?? ??180O@100MHz"
"L9","180O","BottomLayer","L0603","2985.379","2099.776","90","?? 0603?? ??180O@100MHz"
"L8","180O","BottomLayer","L0603","3041.264","2100.029","90","?? 0603?? ??180O@100MHz"
"L6","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3064.966","2604.189","90","0806 MCS20FC-R47MHC"
"L5","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3388.488","2240.446","180","0806 MCS20FC-R47MHC"
"L4","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3405.037","2385.537","180","0806 MCS20FC-R47MHC"
"L3","470nH","BottomLayer","IND-SMD_L2.0-W1.6_MHCHL201610A-1R0M-Q8A","3273.413","2603.986","90","0806 MCS20FC-R47MHC"
"L2","3.3uH","BottomLayer","IND-SMD_L4.4-W4.2","2610.150","2911.322","0","SMD,4.4x4.2mm ??:?????,?????,?DCR???????,????????,??RoHS???Metal material for large current and low DCR?Closed magnetic circuit design reduces leakage flux?Halogen free, RoHS compliant???:TV?????????????????"
"D9","BAT54CT","BottomLayer","SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","3732.385","3637.198","90","??:30V ??:200mA ??:?????? ????? PN????,?????ESD??"
"C125","1uF","BottomLayer","C0402","2962.849","2589.360","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C124","NC","BottomLayer","C0402","3548.318","3120.755","90","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C123","1uF","TopLayer","C0402","3607.807","3132.997","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C122","22uF","BottomLayer","C0603","3405.714","2966.540","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C121","22uF","BottomLayer","C0603","3405.391","3023.367","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C120","22uF","BottomLayer","C0603","3552.122","3232.036","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C119","22uF","TopLayer","C0603","3606.271","3234.128","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C118","22uF","TopLayer","C0603","3551.271","3234.128","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C117","27pF","TopLayer","C0402","2890.320","2348.590","0","50V 27pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C116","100nF","TopLayer","C0402","2890.320","2309.190","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C115","680pF","BottomLayer","C0402","2967.411","2025.618","0","50V 680pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C114","680pF","BottomLayer","C0402","3058.858","2010.655","180","50V 680pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C113","100pF","BottomLayer","C0402","2800.142","2325.353","270","50V 100pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C112","10uF","TopLayer","C0603","3004.862","2134.163","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C111","1uF","TopLayer","C0402","3012.382","2252.128","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C109","4.7uF","TopLayer","C0402","2971.286","2253.107","90","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C103","1uF","BottomLayer","C0402","2889.969","2213.572","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C99","1uF","BottomLayer","C0402","2890.800","2258.841","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C95","1uF","TopLayer","C0402","2888.935","2389.192","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C100","100nF","BottomLayer","C0402","3156.138","2758.351","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C98","1uF","BottomLayer","C0402","2890.967","2303.668","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C91","100nF","TopLayer","C0402","3016.261","2569.044","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C110","1uF","TopLayer","C0402","3060.467","2244.719","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C108","1uF","TopLayer","C0402","3091.273","2105.257","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C107","1uF","TopLayer","C0402","3099.171","2244.937","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C106","10uF","BottomLayer","C0603","3171.945","1995.538","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C105","22uF","BottomLayer","C0603","3165.329","1953.131","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C104","1uF","BottomLayer","C0402","2890.185","2348.111","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C102","1uF","TopLayer","C0402","3205.107","2245.290","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C101","10uF","BottomLayer","C0603","3214.880","2084.179","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C97","1uF","BottomLayer","C0402","3273.817","2103.141","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C96","1uF","TopLayer","C0402","3151.576","2243.899","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C94","1uF","TopLayer","C0402","3244.419","2244.224","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C93","10uF","BottomLayer","C0603","3053.356","2758.518","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C92","22uF","BottomLayer","C0603","3053.878","2705.603","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C90","1uF","BottomLayer","C0402","3311.211","2103.587","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C89","1nF","BottomLayer","C0402","3514.933","2148.238","180","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C88","10uF","BottomLayer","C0603","3540.302","2261.953","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C87","22uF","BottomLayer","C0603","3485.000","2262.433","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C86","1uF","BottomLayer","C0402","3131.897","2609.188","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C85","10uF","BottomLayer","C0603","3180.535","2605.501","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C84","22uF","BottomLayer","C0603","3390.124","2316.245","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C83","1uF","TopLayer","C0402","3258.418","2415.212","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C82","1uF","TopLayer","C0402","3078.183","2569.044","270","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C81","1nF","BottomLayer","C0402","3273.541","2810.000","180","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C80","10uF","BottomLayer","C0603","3350.070","2604.450","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C79","10uF","BottomLayer","C0603","3274.658","2695.974","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C78","22uF","BottomLayer","C0603","3272.484","2753.118","180","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C77","10uF","BottomLayer","C0603","3540.770","2374.383","270","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C76","22uF","BottomLayer","C0603","3485.158","2375.662","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C75","1uF","BottomLayer","C0402","3450.000","2533.877","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C74","1uF","TopLayer","C0402","3258.418","2351.735","180","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C73","1nF","BottomLayer","C0402","3517.470","2491.853","180","50V 1nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C72","1uF","TopLayer","C0402","3132.182","2608.333","90","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C71","1uF","BottomLayer","C0402","3451.026","2585.136","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"C70","100nF","BottomLayer","C0402","3445.826","2666.581","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C66","100nF","TopLayer","C0402","2631.792","2876.793","270","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C65","22uF","TopLayer","C0603","2680.318","2876.239","270","16V 22uF X5R ±20% 0603 Ceramic Capacitors ROHS"
"C64","22pF","BottomLayer","C0402","2574.598","3053.306","270","50V 22pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C63","100nF","BottomLayer","C0402","2784.090","2819.102","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"*1","TCS4525_WT_2","BottomLayer","TCS4525","3436.066","3100.370","90","LDO from TaoBao"
"R42","30kO","BottomLayer","R0402","2710.659","2593.587","0","62.5mW 30K 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R41","47kO","BottomLayer","R0402","2710.600","2634.627","0","62.5mW 47kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"C69","100nF","BottomLayer","C0402","2711.011","2554.904","0","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C68","100nF","BottomLayer","C0402","2649.022","2712.717","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C67","10uF","BottomLayer","C0603","2602.755","2712.906","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"R8","22O","TopLayer","R0402","4362.785","2507.801","270","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"U19","SY8113BADC","BottomLayer","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","2780.227","2732.584","0","???500kHz 3A 18V????????? SY8113B???????500kHz????DC-DC???,????3A??????????????4.5V?18V,???????????,???????????????PWM??,????????????????????????????????500kHz????????????????????"
"X2","24MHz","TopLayer","CRYSTAL-SMD_4P-L3.2-W2.5-BL","3845.027","2771.842","270","Crystal Oscillator 12pF SMD3225-4P Crystals ROHS"
"U18","ESD5451N","BottomLayer","DFN1006-2L-BI","3228.778","4070.758","90","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U17","ESD5451N","BottomLayer","DFN1006-2L-BI","3189.504","4070.995","90","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U16","ESD5451N","BottomLayer","DFN1006-2L-BI","3150.287","4071.166","90","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U15","ESD5451N","BottomLayer","DFN1006-2L-BI","3115.948","4070.652","90","??? TVS(???????),?????????????????????????,???? ESD(????)?EFT(?????)????????????"
"U14","SY7201ABC","BottomLayer","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","2671.396","4112.019","180","???DC/DC?????,????LED???????????1MHz?????????,?????????????????????????????????????????????LED,???????????????LED???30V?LED?"
"U13","WPN252012H100MT","BottomLayer","IND-SMD_L2.5-W2.0_WPN252012H","2699.115","3993.761","180","10uH"
"R37","1MO","TopLayer","R0402","4001.474","2751.166","0","62.5mW 1MO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R36","22O","TopLayer","R0402","4000.507","2799.997","0","??????????????,?????????????????"
"R35","2.2kO","BottomLayer","R0402","4164.925","3232.357","180","2.2kO ±1% 62.5mW ????"
"R34","2.2kO","BottomLayer","R0402","4164.925","3192.286","180","2.2kO ±1% 62.5mW ????"
"R33","100kO","BottomLayer","R0402","2793.231","4172.636","270","100kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R32","3.6O","BottomLayer","R0603","2505.429","4097.758","0","0603 3.6O ±1% 100mW ????"
"R31","3.6O","BottomLayer","R0603","2504.958","4149.031","0","0603 3.6O ±1% 100mW ????"
"FPC2","0.5K-DX-6PWBG","BottomLayer","FPC-SMD_6P-P0.50_DEALON_0.5K-DX-6PWB","3167.204","4224.136","0",""
"D8","DSK34_C727076","BottomLayer","SOD-323_L1.8-W1.3-LS2.5-RD","2555.135","3993.232","0","??:??????UL 94V-0????? ?????????? ????,???????? ???,???? ??????,??????? ?????????? ??????:???250?/10?"
"C62","12pF","TopLayer","C0402","3943.457","2822.906","270","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C61","12pF","TopLayer","C0402","3943.457","2730.861","90","50V 12pF C0G ±5% 0402 Ceramic Capacitors ROHS"
"C60","100nF","BottomLayer","C0402","2891.933","4112.019","180","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C59","10uF","BottomLayer","C0603","2892.290","4159.382","180","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C58","100nF","BottomLayer","C0402","3061.268","4086.168","90","50V 100nF X7R ±10% 0402 Ceramic Capacitors ROHS"
"C57","10uF","BottomLayer","C0603","3014.718","4085.122","90","10V 10uF X5R ±10% 0603 Ceramic Capacitors ROHS"
"C56","4.7uF","BottomLayer","C0402","2793.575","4087.044","270","10V 4.7uF X5R ±20% 0402 Ceramic Capacitors ROHS"
"C55","1uF","BottomLayer","C0402","2390.740","4122.148","0","50V 1uF X5R ±10% 0402 Ceramic Capacitors ROHS"
"R30","1.62kO","BottomLayer","R0402","4234.604","2942.142","135","??:?????????RoHS???????????RoHS???RoHS???????????????????????????????????????????:??????"
"R29","2.2O-0201","TopLayer","R0201","4161.767","3105.594","315","??????????????,?????????????????"
"R28","2.2O-0201","TopLayer","R0201","4139.209","3081.689","315","??????????????,?????????????????"
"R27","2.2O-0201","TopLayer","R0201","4118.230","3059.851","315","??????????????,?????????????????"
"R26","2.2O-0201","TopLayer","R0201","4095.587","3038.399","315","??????????????,?????????????????"
"R25","2.2O-0201","TopLayer","R0201","4072.425","3017.015","315","??????????????,?????????????????"
"R24","2.2O-0201","TopLayer","R0201","4050.704","2995.344","315","??????????????,?????????????????"
"R23","2.2O-0201","TopLayer","R0201","4027.231","2971.421","315","??????????????,?????????????????"
"R22-R29","2.2O-0201","TopLayer","R0201","4004.878","2949.524","315","??????????????,?????????????????"
"R21","10kO","BottomLayer","R0402","4306.055","2165.783","90","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R20","1.8kO","BottomLayer","R0402","4022.225","2137.904","0","62.5mW 1.8kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R19","10kO","BottomLayer","R0402","4310.505","2058.834","90","62.5mW 10kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R18","1.8kO","BottomLayer","R0402","4022.065","2103.141","0","62.5mW 1.8kO 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R17","27kO","TopLayer","R0402","3904.880","2118.947","0","??????????????,?????????????????"
"R16","NC","TopLayer","R0402","3829.974","2119.061","0","0O 62.5mW 50V Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R15","1kO","TopLayer","R0402","4037.198","2615.300","90","1kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R14","100kO","TopLayer","R0402","4037.445","2535.540","90","100kO 62.5mW 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"Q3","2SK3018_C194460","BottomLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR","4200.234","2185.686","0","N??,30V,100mA"
"Q2","2SK3018_C194460","BottomLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR","4200.908","2078.819","0","N??,30V,100mA"
"Q1","2SK3018_C194460","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR","3887.620","2213.572","180","N??,30V,100mA"
"D7","1N5819WS","BottomLayer","SOD-323_L1.8-W1.3-LS2.5-RD","3807.586","2269.549","0","25A 40V 600mV@1A 1A SOD-323 Single Diodes ROHS"
"D6","TPESD5341N","TopLayer","X1-DFN1006-2_L1.0-W0.6-RD","4150.361","2124.000","90","VRWM:5V, IPP:3.3A, CJ:0.35pF"
"D5","TPESD5341N","TopLayer","X1-DFN1006-2_L1.0-W0.6-RD","4098.828","2124.000","90","VRWM:5V, IPP:3.3A, CJ:0.35pF"
"D4","TPESD5341N","TopLayer","X1-DFN1006-2_L1.0-W0.6-RD","4047.294","2124.301","90","VRWM:5V, IPP:3.3A, CJ:0.35pF"
"D3","TPESD5341N","TopLayer","X1-DFN1006-2_L1.0-W0.6-RD","3995.761","2124.315","90","VRWM:5V, IPP:3.3A, CJ:0.35pF"
"D2","ESD5344D-10/TR","TopLayer","DFN2510-10_L2.5-W1.0-P0.50-BL","4227.497","2124.956","0","ESD5344D???????TVS(???????)??,???????????????????????????????????,????ESD(????)?????????ESD5344D?????????????????TVS??????IEC61000 - 4 - 2??,ESD5344D?????±20kV(????)?ESD??;??IEC61000 - 4 - 5??,??????4A(8/20µs)????????ESD5344D??DFN2510 - 10L??????????????"
"CN1","KH-HDMI-19P-Cu","TopLayer","HDMI-SMD_KH-HDMI-19P-CU","4209.792","1873.534","0","HDMI-A SMD USB, DVI, HDMI Connector Assemblies ROHS"
"U12","2.4GHz","TopLayer","QFN-44_L12.0-W12.0-P0.90-TL_AP6212","3040.535","3476.133","0","2.4GHz -90dBm QFN-44(12x12) RF Transceiver Modules and Modems ROHS"
"U11","ESD5451N","TopLayer","DFN1006-2L-BI","3441.593","3841.019","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U10","ESD5451N","TopLayer","DFN1006-2L-BI","3035.913","3841.019","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U9","ESD5451N","TopLayer","DFN1006-2L-BI","3090.057","3841.019","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U8","ESD5451N","TopLayer","DFN1006-2L-BI","3189.764","3841.019","90","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U7","TF-01A_C91145","TopLayer","TF-SMD_TF-01A","3082.120","4134.600","180","Push-Push 1.85mm Connector and Ejector MicroSD Card (TF Card) SMD PC Card Sockets ROHS"
"U6","ESD5451N","TopLayer","DFN1006-2L-BI","3258.032","3841.019","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U5","ESD5451N","TopLayer","DFN1006-2L-BI","3349.551","3841.019","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"U4","ESD5451N","TopLayer","DFN1006-2L-BI","2937.205","3841.019","270","9A 9.8V 8V Bidirectional 5V DFN1006-2L TVS Diodes ROHS"
"R10","22O","TopLayer","R0402","4269.176","2590.134","180","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R6","22O","TopLayer","R0402","3476.985","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R5","22O","TopLayer","R0402","3125.893","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R4","22O","TopLayer","R0402","2998.195","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R3","22O","TopLayer","R0402","2903.911","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R2","22O","TopLayer","R0402","3388.045","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R1","22O","TopLayer","R0402","3294.203","3842.030","90","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
"R9","22O","TopLayer","R0402","4982.845","2556.288","180","62.5mW 33O 50V ±100ppm/? Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount ROHS"
